title,bp5,bndcg5,hp5,hndcg5,base_avg_sim,hyb_avg_sim,hyb_avg_score
The Money Pit,1.0,1.0,0.6,0.6843515475204855,0.16698,0.13527999999999998,0.23895994676854007
2 Days in New York,1.0,1.0,0.4,0.5531464700081437,0.15558999999999998,0.13641999999999999,0.252086506084109
Me Before You,1.0,1.0,1.0,1.0,0.20074999999999998,0.19066999999999998,0.2680698934436748
Anne of Green Gables,1.0,1.0,0.8,0.830419897363192,0.18056,0.17321,0.2660059073010198
Rules Don't Apply,0.8,0.8687949224876582,0.4,0.5087403079104241,0.1502,0.13279999999999997,0.2521717941676524
Human Nature,1.0,1.0,0.8,0.6608397947263839,0.18102000000000001,0.15191000000000002,0.2620185131896785
Surrogates,1.0,1.0,0.6,0.7227265726449519,0.23194999999999996,0.16247,0.26569788549819967
Hello Ladies: The Movie,1.0,1.0,0.8,0.830419897363192,0.20888999999999996,0.17617000000000002,0.2803496728370683
The Sisterhood of the Traveling Pants 2,1.0,1.0,1.0,1.0,0.18636,0.17035,0.27115497393375343
Unknown,1.0,1.0,0.6,0.6164336326286644,0.18581999999999999,0.1552,0.26309077739164904
You're Not You,1.0,1.0,1.0,1.0,0.25448000000000004,0.23847000000000002,0.31194735390783923
Le Mans,1.0,1.0,0.8,0.8687949224876582,0.18999,0.1688,0.258739909876432
Agent Cody Banks,1.0,1.0,0.6,0.5147714448836774,0.16522,0.12921,0.24684294572361445
Life of Brian,1.0,1.0,1.0,1.0,0.20105999999999996,0.19083999999999998,0.2713480012743831
The Thin Man,1.0,1.0,0.8,0.830419897363192,0.17328000000000002,0.13499,0.267621695550545
A Dirty Carnival,1.0,1.0,1.0,1.0,0.17675000000000002,0.15741,0.26151562641124226
The Animatrix,1.0,1.0,1.0,1.0,0.27129000000000003,0.26677,0.3398540607302585
Jeruzalem,1.0,1.0,0.6,0.6843515475204855,0.19402,0.14265000000000003,0.2570729973125021
Rent,1.0,1.0,0.4,0.3156484524795145,0.1834,0.15050999999999998,0.26021907323019466
Pokémon: Spell of the Unknown,1.0,1.0,0.6,0.639945385422766,0.17158,0.14109,0.2628372776001765
The New Kid,1.0,1.0,1.0,1.0,0.19771999999999998,0.17160999999999998,0.2737696512546891
Capturing the Friedmans,1.0,1.0,0.6,0.7227265726449519,0.18439,0.16422000000000003,0.27282947794406975
Shelter,1.0,1.0,0.8,0.830419897363192,0.22348999999999997,0.20876999999999998,0.28630591029853786
The Bad Lieutenant: Port of Call - New Orleans,1.0,1.0,0.6,0.7227265726449519,0.19384,0.16575,0.26956197223727585
The Siege of Jadotville,1.0,1.0,1.0,1.0,0.22454999999999997,0.21549000000000001,0.2923956514614141
Bunraku,1.0,1.0,0.8,0.8687949224876582,0.19551,0.17671,0.2637425809618542
Austenland,1.0,1.0,1.0,1.0,0.32858,0.31677999999999995,0.3261140406030074
Outpost,1.0,1.0,0.8,0.830419897363192,0.16929,0.13459,0.2454315325713244
The Merchant of Venice,1.0,1.0,1.0,1.0,0.20953,0.20196999999999998,0.2888954827745547
The Tourist,1.0,1.0,1.0,1.0,0.18180000000000002,0.15348,0.2533455281634884
Young Frankenstein,1.0,1.0,1.0,1.0,0.20711,0.18525,0.2769192778345885
The Incredible Hulk,1.0,1.0,1.0,1.0,0.21606,0.15635000000000002,0.27708654854837145
Ghostbusters II,1.0,1.0,0.8,0.7860137352654724,0.21163000000000004,0.17714,0.2904281584004867
Critters 3,1.0,1.0,0.8,0.8539316501572937,0.2612,0.21635000000000004,0.28809816990567394
The Angriest Man in Brooklyn,1.0,1.0,1.0,1.0,0.21823,0.19635999999999998,0.28156337911692214
