title,hyb_ndcg5,hyb_p5,sem_ndcg5,sem_p5
The Money Pit,1.0,1.0,1.0,1.0
2 Days in New York,1.0,0.8,0.9558295932317544,0.8
Me Before You,1.0,1.0,1.0,1.0
Anne of Green Gables,1.0,1.0,1.0,1.0
Rules Don't Apply,1.0,1.0,1.0,1.0
Human Nature,1.0,1.0,1.0,1.0
Surrogates,0.8698687319194839,1.0,0.8698687319194839,1.0
Hello Ladies: The Movie,0.7606395682357036,0.8,0.7606395682357036,0.8
The Sisterhood of the Traveling Pants 2,1.0,0.4,1.0,0.4
Unknown,0.9047172294870751,0.0,0.9047172294870751,0.0
You're Not You,0.9674679834891694,0.6,0.9674679834891694,0.6
Le Mans,0.7606395682357036,0.8,0.7606395682357036,0.8
Agent Cody Banks,0.9047172294870752,0.8,0.9060254355346824,0.6
Life of Brian,1.0,1.0,1.0,1.0
The Thin Man,0.9440871577840736,0.6,0.9440871577840736,0.6
A Dirty Carnival,0.8777069972374095,0.8,0.989141344633751,0.8
The Animatrix,1.0,1.0,1.0,1.0
Jeruzalem,1.0,1.0,1.0,1.0
Rent,1.0,0.8,1.0,0.8
Pokémon: Spell of the Unknown,0.7698986984637216,0.2,0.7698986984637216,0.2
The New Kid,0.7606395682357036,0.8,0.7606395682357036,0.8
Capturing the Friedmans,1.0,1.0,1.0,1.0
Shelter,0.9047172294870752,0.8,0.9047172294870752,0.8
The Bad Lieutenant: Port of Call - New Orleans,1.0,1.0,1.0,1.0
The Siege of Jadotville,0.9686152031181796,0.6,0.9686152031181796,0.6
Bunraku,0.9719643720954755,0.8,0.9719643720954755,0.8
Austenland,1.0,1.0,1.0,1.0
Outpost,0.9558295932317544,0.8,0.9558295932317544,0.8
The Merchant of Venice,1.0,1.0,1.0,1.0
The Tourist,0.7979168917078058,0.2,0.7979168917078058,0.2
Young Frankenstein,0.9686152031181796,0.6,0.9686152031181796,0.6
The Incredible Hulk,1.0,1.0,1.0,1.0
Ghostbusters II,0.9844954897537884,0.8,1.0,0.4
Critters 3,0.9812540971653149,0.8,0.9876322084609285,0.6
The Angriest Man in Brooklyn,1.0,1.0,1.0,1.0
The Accidental Spy,1.0,0.0,1.0,0.0
People Like Us,1.0,1.0,1.0,1.0
Belle de Jour,1.0,1.0,1.0,1.0
Absolute Power,1.0,1.0,1.0,1.0
The Young and Prodigious T.S. Spivet,0.8480742992651265,0.8,0.8480742992651265,0.8
Cashback,1.0,1.0,1.0,1.0
Pat Garrett & Billy the Kid,1.0,0.8,1.0,0.8
Welcome to Me,1.0,1.0,1.0,1.0
The Treasure of the Sierra Madre,0.9395225786842205,0.8,0.9395225786842205,0.8
Big Hero 6,0.9213963208540731,0.4,0.9213963208540731,0.4
Grand Piano,0.8480742992651265,0.8,0.8480742992651265,0.8
Labyrinth,1.0,1.0,1.0,1.0
Kirikou and the Sorceress,0.989141344633751,0.8,0.989141344633751,0.8
The Hunger Games: Mockingjay - Part 1,0.9719643720954755,0.8,0.9719643720954755,0.8
Peggy Sue Got Married,1.0,0.4,1.0,0.4
The Program,1.0,1.0,1.0,1.0
Two Brothers,0.9395225786842205,0.8,0.9395225786842205,0.8
Blue Lagoon: The Awakening,1.0,0.0,1.0,0.0
Entrapment,0.9055343201752041,0.6,0.8926893079768027,0.6
Last Call for Nowhere,0.8480742992651265,0.8,0.8331277807946136,0.6
Father of the Bride,0.9047172294870752,0.8,0.9047172294870752,0.8
The Company Men,0.9828920819566878,0.8,0.9828920819566878,0.8
The Notebook,1.0,1.0,1.0,1.0
Catwoman,1.0,0.8,0.989141344633751,0.8
Earth Girls Are Easy,0.8389776660073724,0.4,0.8389776660073724,0.4
You Kill Me,0.9086493060890978,0.4,0.9674679834891693,0.0
Crimes and Misdemeanors,1.0,0.8,1.0,0.8
Breathless,0.0,0.0,0.0,0.0
ATM,0.9047172294870752,0.8,0.9047172294870752,0.8
The Intouchables,1.0,1.0,1.0,1.0
The Double,1.0,1.0,1.0,1.0
Special Correspondents,0.9828920819566878,0.8,0.9828920819566878,0.8
Hackers,0.8480742992651265,0.8,0.8480742992651265,0.8
Much Ado About Nothing,1.0,1.0,1.0,1.0
Ghost,0.850834274847108,0.2,0.850834274847108,0.2
Misconduct,1.0,0.8,1.0,0.8
Kon-Tiki,0.6776636931349654,0.2,0.6776636931349654,0.2
Snow Day,0.8850729764703047,1.0,1.0,1.0
Fantomas,1.0,0.4,1.0,0.4
Autumn Sonata,1.0,1.0,1.0,1.0
Colonia,0.9674679834891694,0.6,0.9674679834891694,0.6
The Last Airbender,0.7603739868614454,0.4,0.7603739868614454,0.4
Once Upon a Time in the West,1.0,1.0,1.0,1.0
Come Back to Me,0.7606395682357036,0.8,0.7606395682357036,0.8
Where the Wild Things Are,0.9213963208540731,0.4,0.9213963208540731,0.4
Bride of Chucky,0.9558295932317544,0.8,0.9558295932317544,0.8
Viaggi di nozze,0.9828920819566878,0.8,0.9828920819566878,0.8
Mr. Woodcock,1.0,1.0,1.0,1.0
Diamonds Are Forever,0.9478815954653227,1.0,0.9478815954653227,1.0
Warsaw 44,0.9686152031181796,0.6,0.9686152031181796,0.6
"Grande, grosso e Verdone",0.979525100527009,0.8,0.979525100527009,0.8
Hotarubi no Mori e,0.9060254355346823,0.0,0.9060254355346823,0.0
Ae Dil Hai Mushkil,1.0,1.0,1.0,1.0
Nineteen Eighty-Four,0.8569652888015743,0.8,0.8569652888015743,0.8
Austin Powers: International Man of Mystery,0.9812540971653149,0.8,0.9812540971653149,0.8
Nanny McPhee,1.0,1.0,1.0,1.0
Batman vs. Robin,1.0,1.0,1.0,1.0
Straw Dogs,0.6460523621555107,0.4,0.6460523621555107,0.4
Point Break,0.9395225786842205,0.8,0.9395225786842205,0.8
Turistas,1.0,1.0,1.0,1.0
Thir13en Ghosts,1.0,1.0,1.0,1.0
Ghostbusters,0.9595620305869816,0.8,0.9595620305869816,0.8
Leprechaun,1.0,0.4,1.0,0.4
Fast Food Nation,0.7606395682357036,0.0,1.0,0.0
Late Phases,1.0,1.0,1.0,1.0
The Factory,0.8480742992651265,0.8,0.8480742992651265,0.8
Confirmation,0.7606395682357036,0.8,0.7606395682357036,0.8
Shanghai Noon,1.0,0.6,1.0,0.6
A Touch of Sin,1.0,1.0,1.0,1.0
Madagascar: Escape 2 Africa,1.0,0.8,1.0,0.8
Monsters,0.9595620305869816,0.8,0.9595620305869816,0.8
Joy,1.0,1.0,1.0,1.0
Whitney: Can I Be Me,0.9719643720954755,0.8,0.9719643720954755,0.8
The Order,0.0,0.0,0.0,0.0
Knowing,1.0,0.4,1.0,0.4
Che: Part One,1.0,1.0,1.0,1.0
Milk,0.6717287037439216,0.6,0.6717287037439216,0.6
Devil in a Blue Dress,0.8850729764703047,1.0,0.8850729764703047,1.0
The Fourth Kind,0.9578347709816888,0.4,0.9578347709816888,0.4
Babies,1.0,1.0,1.0,1.0
Barefoot,1.0,1.0,1.0,1.0
Dogma,1.0,0.6,1.0,0.6
Scoop,0.9924746272747981,0.4,0.9924746272747981,0.4
Dolls,0.0,0.0,0.0,0.0
The Experiment,1.0,1.0,1.0,1.0
The Mothman Prophecies,0.989141344633751,0.8,0.989141344633751,0.8
Transformers: Age of Extinction,1.0,1.0,1.0,1.0
The Jacket,1.0,0.0,1.0,0.0
Young Sherlock Holmes,1.0,0.4,1.0,0.4
The Party 2,0.9047172294870752,0.8,0.9047172294870752,0.8
Valhalla Rising,0.8106961231285943,0.6,0.8106961231285943,0.6
Prom,1.0,1.0,1.0,1.0
The House of the Spirits,1.0,1.0,1.0,1.0
Betty Blue,0.8480742992651265,0.8,0.8480742992651265,0.8
30 Days of Night,1.0,1.0,1.0,1.0
"Honey, I Shrunk the Kids",0.9719643720954755,0.8,0.9719643720954755,0.8
Fantozzi The Return,1.0,0.8,1.0,0.4
Intolerable Cruelty,0.989141344633751,0.8,0.989141344633751,0.8
The Last Detail,0.8480742992651265,0.8,0.8480742992651265,0.8
22 Bullets,1.0,1.0,1.0,1.0
The Great Raid,0.9322978750325865,0.6,0.9322978750325865,0.6
The Man,1.0,1.0,1.0,1.0
Spanish Affair,1.0,1.0,1.0,1.0
Why Don't You Play in Hell?,0.9558295932317544,0.0,0.9558295932317544,0.0
Rise of the Footsoldier,0.989141344633751,0.8,0.989141344633751,0.8
The Basketball Diaries,0.9373348578965507,0.8,0.9373348578965507,0.8
The Hunter's Prayer,1.0,0.8,1.0,0.8
The Past,1.0,0.8,1.0,0.4
Beauty Shop,1.0,1.0,1.0,1.0
Society,1.0,0.2,1.0,0.2
The Circus,0.8322420383257692,0.6,0.8322420383257692,0.6
Maurice,1.0,1.0,1.0,1.0
Before I Wake,0.9213963208540731,0.4,0.9213963208540731,0.4
The Mummy,1.0,1.0,1.0,1.0
Venus in Fur,1.0,1.0,1.0,1.0
The Thomas Crown Affair,1.0,0.0,1.0,0.0
"Jeff, Who Lives at Home",1.0,1.0,1.0,1.0
A Man Called Horse,1.0,0.6,1.0,0.6
Love & Basketball,1.0,0.0,1.0,0.0
